/home/chris/miniconda3/envs/marlo/bin/python /home/chris/Desktop/lunar-lander/train_agent1.py --verbose --overwrite
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gymnasium/core.py:27: UserWarning: WARN: Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gym/core.py:27: UserWarning: WARN: Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
dimension of state space = 15
number of actions = 7
| episode | return          | minimal return      | mean return        |
|         | (this episode)  | (last 20 episodes)  | (last 20 episodes) |
|-----------------------------------------------------------------------

|     365 |        1.000    |       -221.200      |      -147.815      |

|     366 |     -218.600    |       -221.200      |      -147.750      |

|     367 |     -214.500    |       -221.200      |      -148.500      |

|     368 |     -215.800    |       -221.200      |      -148.715      |

|     369 |     -181.700    |       -218.600      |      -146.740      |

|     370 |     -127.700    |       -218.600      |      -143.085      |



|     371 |     -149.800    |       -218.600      |      -140.020      |

|     372 |     -206.300    |       -218.600      |      -139.470      |

|     373 |      -22.400    |       -218.600      |      -129.805      |

|     374 |     -202.300    |       -218.600      |      -129.465      |

|     375 |     -132.800    |       -218.600      |      -135.355      |


|     376 |     -100.100    |       -218.600      |      -130.980      |
Not enough available Minecraft instances running.
Will wait in case they are starting up. 4 attempts left.

|     377 |     -211.100    |       -218.600      |      -143.445      |

|     378 |     -108.300    |       -218.600      |      -140.095      |

|     379 |     -211.100    |       -218.600      |      -152.100      |

|     380 |     -150.800    |       -218.600      |      -148.980      |

|     381 |      -12.300    |       -218.600      |      -140.815      |

|     382 |     -141.100    |       -218.600      |      -139.265      |

|     383 |     -177.000    |       -218.600      |      -138.830      |

|     384 |     -213.900    |       -218.600      |      -149.830      |

|     385 |     -167.500    |       -218.600      |      -158.255      |

|     386 |     -212.100    |       -215.800      |      -157.930      |

|     387 |     -111.200    |       -215.800      |      -152.765      |

|     388 |     -202.600    |       -213.900      |      -152.105      |

|     389 |     -203.500    |       -213.900      |      -153.195      |

|     390 |     -210.100    |       -213.900      |      -157.315      |

|     391 |     -212.000    |       -213.900      |      -160.425      |

|     392 |     -206.900    |       -213.900      |      -160.455      |

|     393 |     -179.300    |       -213.900      |      -168.300      |

|     394 |     -220.800    |       -220.800      |      -169.225      |

|     395 |     -209.400    |       -220.800      |      -173.055      |

|     396 |       71.300    |       -220.800      |      -164.485      |

|     397 |     -220.200    |       -220.800      |      -164.940      |

|     398 |       41.200    |       -220.800      |      -157.465      |

|     399 |      -21.700    |       -220.800      |      -147.995      |

|     400 |     -141.500    |       -220.800      |      -147.530      |


|     401 |     -193.900    |       -220.800      |      -156.610      |

|     402 |     -226.500    |       -226.500      |      -160.880      |

|     403 |     -186.800    |       -226.500      |      -161.370      |

|     404 |      -16.200    |       -226.500      |      -151.485      |

|     405 |     -210.100    |       -226.500      |      -153.615      |

|     406 |      204.700    |       -226.500      |      -132.775      |

|     407 |       97.400    |       -226.500      |      -122.345      |

|     408 |     -191.500    |       -226.500      |      -121.790      |

|     409 |     -222.700    |       -226.500      |      -122.750      |

